CODIGO UNIDADE;NOME UNIDADE;CODIGO DEPOSITO;DESCRIÇÃO DEPOSITO;CODIGO LOCAL;DESCRIÇÃO LOCAL;ESTANTE;PRATELEIRA;COLUNA;SEQUENCIA;CODIGO DEST. USO;DESCRIÇÃO DEST. USO;CODIGO ITEM;DESCRIÇÃO ITEM;CODIGO GRUPO DE ESTOQUE;DESCRIÇÃO GRUPO DE ESTOQUE;CODIGO SUBGRUPO DE ESTOQUE;DESCRIÇÃO SUBGRUPO DE ESTOQUE;UNIDADE MEDIDA;DATA ULTIMA COMPRA;CODIGO LOTE;LEGENDA LOTE;QUANTIDADE;VALOR;SITUAÇÃO PILHA;DATA CRIAÇÃO;MARCA REFERENCIA;CONTROLA ESTOQUE MINIMO;DATA FECHAMENTO;DATA GERAÇÃO;CLASSIFICAÇÃO TEMPO SEM CONSUMO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;1;1;1;3;ESTOQUE MINIMO;187649;SERRA FITA ELETRICA ALIMENTO 10CV 575V;14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;89;11901,1;;;;NÃO;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;1;2;1;3;ESTOQUE MINIMO;188200;"SERRA FITA (LAMINA) 3 DENTES LARG.3/4""X2965X0,56MM";14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;27;1411,63;;;;SIM;;03/05/2026 10:07;EM OBSOLESCENCIA;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;1;2;2;3;ESTOQUE MINIMO;45475;"SERRA FITA (LAMINA) 4 DENTES 3/4""X0,55X2,850MM";14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;33;1908,98;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;1;3;2;3;ESTOQUE MINIMO;149838;"COLAR TOMADA PVC RIGIDO 110X3/4""";14;MATERIAIS PARA USO EM MANUTENCOES;14;MANGUEIRAS, ENGATES, REGISTROS E AFINS;UN;;;;127;10279,57;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;1;4;1;3;ESTOQUE MINIMO;80715;INVERSOR FREQ.CFW-500 15KW 31A 380/440V REF.D31POT4DB20,WEG;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;1;7588,26;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;1;4;2;3;ESTOQUE MINIMO;191990;PLACA PRINCIPAL P/IMPRESSORA COD.MH241T-015140,TSC;14;MATERIAIS PARA USO EM MANUTENCOES;2;PECAS P/MAQUINAS DE APOIO A PRODUCAO;UN;;;;2;7404,19;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;1;1;3;ESTOQUE MINIMO;187355;SERRA FITA HSS 19X0,5MM 4DENTES 2,85M;14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;4;267,21;;;;NÃO;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;1;2;3;ESTOQUE MINIMO;188172;"SERRA FITA ACO 19X0,55MM 4 DENTES"" 3,5MT";14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;7;981,91;;;;NÃO;;03/05/2026 10:07;EM OBSOLESCENCIA;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;1;3;3;ESTOQUE MINIMO;151132;SERRA FITA M42 CLASSIC 3/4X4-6X2,36T CORTE METAIS;14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;8;1138,18;;;;SIM;;03/05/2026 10:07;EM OBSOLESCENCIA;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;1;4;3;ESTOQUE MINIMO;187352;SERRA FITA ACO 16X0,4MM 6DENTES 3,15M;14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;5;544,5;;;;NÃO;;03/05/2026 10:07;EM OBSOLESCENCIA;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;1;5;3;ESTOQUE MINIMO;187353;SERRA FITA ACO 19X0,55MM 4DENTES 3,15M;14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;29;1184,29;;;;NÃO;;03/05/2026 10:07;EM OBSOLESCENCIA;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;2;1;3;ESTOQUE MINIMO;187551;"SERRA FITA ACO 5/8"" 16X0,4MM 6 DENTE 2,35MT COD.MKP16X6SK4,STARRETT";14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;58;2509,4;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;2;3;ESTOQUE MINIMO;176184;CABECA DE IMPRESSAO 203DPI P/IMPRESSORA COD.MH241T015103,TSC;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;16;48509,4;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;3;3;ESTOQUE MINIMO;180305;PAINEL LCD COLOR TOUCH COMPLETO COD.MH241T015136,TSC;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;7;22599,7;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;4;3;ESTOQUE MINIMO;176186;ROLETE PRINCIPAL COD.MH241T015142,TSC;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;2;1139,6;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;5;3;ESTOQUE MINIMO;178380;MODULO DE GUIA DO PAPEL P/IMPRESSORA COD.MH241T015150,TSC;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;5;762,35;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;6;3;ESTOQUE MINIMO;178248;SENSOR FIM PAPEL COD. SP-MH241T-0022 TSC;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;7;5057,37;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;7;3;ESTOQUE MINIMO;178249;SENSOR DE PAPEL COD SP-MH241T-0030 TSC;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;5;3933,53;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;8;3;ESTOQUE MINIMO;45736;PILHA ALCALINA PEQUENA AA 1,5V DURACELL,RAYOVAC,PHILIPS;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;54;250,82;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;9;3;ESTOQUE MINIMO;81262;PILHA / BATERIA TIPO BOTAO/MOEDA 3V MOD.CR2032 DURACELL;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;49;253,59;;;;NÃO;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;10;3;ESTOQUE MINIMO;105329;PILHA LR41/AG3 1.5V-68 MAH BL-P/RELOGIOS;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;41;31,22;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;11;3;ESTOQUE MINIMO;45737;PILHA ALCALINA PALITO AAA 1,5V DURACELL / RAYOVAC / PHILIPS;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;63;295,73;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;12;3;ESTOQUE MINIMO;98880;PILHA ALCALINA 12V A23S K0887A PHILIPS / PANASONIC / RAYOVAC;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;12;249,13;;;;SIM;;03/05/2026 10:07;REGULAR;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;3;13;3;ESTOQUE MINIMO;45308;BATERIA ALCALINA 9V DURACEL / RAYOVAC / PHILIPS;14;MATERIAIS PARA USO EM MANUTENCOES;5;COMPONENTES ELETRICOS E ELETRONICO AUTOMACAO;UN;;;;15;333,96;;;;SIM;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;4;1;3;ESTOQUE MINIMO;190450;CPU PLC 1769 COD.1508299,METALQUIMIA;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;1;38747,38;;;;NÃO;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;4;2;3;ESTOQUE MINIMO;190451;DISPLAY COD.1508390KTW,METALQUIMIA;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;1;34376,66;;;;NÃO;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;2;4;3;3;ESTOQUE MINIMO;190452;KIT ENCODER COD.1160161K,METALQUIMIA;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;1;63984,85;;;;NÃO;;03/05/2026 10:07;OCIOSO;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;3;1;1;3;ESTOQUE MINIMO;187356;SERRA FITA HSS 19X0,5MM 4DENTES 2,625M;14;MATERIAIS PARA USO EM MANUTENCOES;22;FERRAMENTAS DE CORTE/USINAGEM;UN;;;;71;4054,1;;;;NÃO;;03/05/2026 10:07;EM OBSOLESCENCIA;
92;FRIG. AURORA CASTRO;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;1;3;2;1;3;ESTOQUE MINIMO;185581;LAMINA FITA 117 COD.411102,KENTMASTER;14;MATERIAIS PARA USO EM MANUTENCOES;1;PECAS P/ MAQUINAS PROCESSO PRODUTIVO;UN;;;;80;6937,04;;;;SIM;;03/05/2026 10:07;REGULAR;
