CD_UNID;NOME_UNID;CS_TT_MAQUINA;DESCR_MAQUINA;CD_MAQUINA;CD_SETORMANUT;DESCR_SETORMANUT;CD_PRIOMAQUTV;NRO_PATRIMONIO;CD_MODELO;CD_GRUPO;CD_TPCENTATIV;DESCR_GERENC
92;FRIG. AURORA CASTRO;4228; ESTEIRA  ACUMULAR CAIXAS 02 PLT MI51E (ES1701000163);99986240;TCA;SETOR TUNEIS E CAMARAS        ;6;;9999;29004;2313;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; ESTEIRA  CAIXAS DIR.A  EMB 033.02 (ES1701000149);99985717;EMB;SETOR EMBALAGEM               ;6;;9999;29004;4138;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; ESTEIRA  DOSAR CAIXAS  PLT MI116E (ES1701000164);99986246;TCA;SETOR TUNEIS E CAMARAS        ;6;;9999;29004;2313;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; ESTEIRA DE MATERIA PRIMA 4;99986991;COD;SETOR DE CONDIMENTOS          ;6;1;9999;29004;4472;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; ESTEIRA TRANS. APOS CORTADOR/CUBADOR (ES1701000041);99986327;CUR;SETOR EMB CURADOS             ;6;257510;9999;29004;5525;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; ESTEIRA TRANS. APOS CORTADOR/CUBADOR - REDUTOR;4570;CUR;SETOR EMB CURADOS             ;6;257510;999;46054;5525;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228; ESTEIRA TRANS. APOS CORTADOR/CUBADOR - REDUTOR - MOTOR;4571;CUR;SETOR EMB CURADOS             ;6;257510;999;46054;5525;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228; EVAP. REG. 5°C CÂMARA RESFRIAMENTO MP (EVA1701000144);99986376;CUR;SETOR EMB CURADOS             ;6;;9999;22008;5525;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; INSENSIBILIZADOR;99998845;REC;SETOR DE RECEPCAO             ;1;0;9999;13001;2216;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228; INSENSIBILIZADOR;99998846;REC;SETOR DE RECEPCAO             ;1;0;9999;13001;2216;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228; INSENSIBILIZADOR;99998847;REC;SETOR DE RECEPCAO             ;1;0;9999;13001;2216;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228; TANQUE ENCRUAMENTO EMBALAGEM MONTEMIL;99986397;CUR;SETOR EMB CURADOS             ;6;258863;9999;21006;5525;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228; TANQUE ENCRUAMENTO EMBALAGEM MONTEMIL - SISTEMA DE SEGURANÇA;4573;CUR;SETOR EMB CURADOS             ;6;258863;9999;21008;5525;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228; TANQUE ENCRUAMENTO EMBALAGEM MONTEMIL - SISTEMA ELETRICO;4572;CUR;SETOR EMB CURADOS             ;6;258863;9999;21008;5525;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;#NOME?;1590;SGB;SETOR GERAÇÃO BIOGAS;6;0;9999;21000;2321;OUTROS
92;FRIG. AURORA CASTRO;4228;92BL-COD001;99998764;COD;SETOR DE CONDIMENTOS          ;6;0;9999;1600;4472;OUTROS
92;FRIG. AURORA CASTRO;4228;92BL-COD002;99985879;COD;SETOR DE CONDIMENTOS          ;6;0;9999;1600;4472;OUTROS
92;FRIG. AURORA CASTRO;4228;92BL-COD003;99998773;COD;SETOR DE CONDIMENTOS          ;6;0;9999;1600;4472;OUTROS
92;FRIG. AURORA CASTRO;4228;92BL-CUR001;5070;CUR;SETOR EMB CURADOS             ;1;258801;9999;1600;5525;MÁQUINAS PRINCIPAL
