Unidade;Nome Unidade;Setor;Descrição Setor;Atividade;Máquina;Descrição Máquina;Nº Patrimônio;Plano;Descrição Plano;Sequência Manutenção;Data Execução;Quantidade Período;Sequência Tarefa;Descrição Tarefa;Funcionário;Nome Funcionário;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1357;TANQUE DE ESCALDAGEM SULMAQ - PAINEL DE CONTROLE DE TEMPERATURA 01;253974;1;PREVENTIVA;1;28/06/2025;60;5141;VERIFICAR CONDIÇÕES GERAIS, VEDAÇÃO E FUNCIONAMENTO DA VÁLVULA GUILHOTINA.;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1358;TANQUE DE ESCALDAGEM SULMAQ - PAINEL DE CONTROLE DE TEMPERATURA 02;253974;1;PREVENTIVA;1;28/06/2025;60;5141;VERIFICAR CONDIÇÕES GERAIS, VEDAÇÃO E FUNCIONAMENTO DA VÁLVULA GUILHOTINA.;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1359;TANQUE DE ESCALDAGEM SULMAQ - PAINEL DE CONTROLE DE TEMPERATURA 03;253974;1;PREVENTIVA;1;21/06/2025;60;5141;VERIFICAR CONDIÇÕES GERAIS, VEDAÇÃO E FUNCIONAMENTO DA VÁLVULA GUILHOTINA.;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1360;TANQUE DE ESCALDAGEM SULMAQ - PAINEL DE CONTROLE DE TEMPERATURA 04;253974;1;PREVENTIVA;1;05/07/2025;60;5141;VERIFICAR CONDIÇÕES GERAIS, VEDAÇÃO E FUNCIONAMENTO DA VÁLVULA GUILHOTINA.;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1361;TANQUE DE ESCALDAGEM SULMAQ - PAINEL DE CONTROLE DE TEMPERATURA 05;253974;1;PREVENTIVA;1;05/07/2025;60;5141;VERIFICAR CONDIÇÕES GERAIS, VEDAÇÃO E FUNCIONAMENTO DA VÁLVULA GUILHOTINA.;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1362;TANQUE DE ESCALDAGEM SULMAQ - PAINEL DE CONTROLE DE TEMPERATURA 06;253974;1;PREVENTIVA;1;21/06/2025;60;5141;VERIFICAR CONDIÇÕES GERAIS, VEDAÇÃO E FUNCIONAMENTO DA VÁLVULA GUILHOTINA.;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1363;TANQUE DE ESCALDAGEM SULMAQ - SISTEMA ELÉTRICO;253974;1;PREVENTIVA;1;02/07/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;254575;DANILO SANTOS DA SILVA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1364;TANQUE DE ESCALDAGEM SULMAQ - SISTEMA DE SEGURANÇA;253974;1;PREVENTIVA;1;02/07/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1365;TANQUE DE ESCALDAGEM SULMAQ - SISTEMA PNEUMÁTICO;253974;1;PREVENTIVA;1;28/06/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;254575;DANILO SANTOS DA SILVA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1367;MESA ROLANTE REPENDURA DE SUÍNOS 6000 - SISTEMA ELÉTRICO;258056;1;PREVENTIVA;1;21/06/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;418663;ELIAS VERNES BIANCHI;
