Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;uso contabil;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
54551520/0001-11;ATIVA PRO SERVICE;149;;;3.525,40;242;03/12/2025;19/01/2026;14;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;17/12/2025;CONSERTO DO MÓDULO DAS EMBUTIDEIRAS HANDTMANN;;17/12/2025;;;;
39871419/0001-54;3D MULTISERVICOS LTDA;503;;;34.991,25;;16/12/2025;;1;92;FAC;92;FAC;2054;ADMINISTRACAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CELINA CASSIA CASTRO SOARES;17/12/2025;NOTA FISCAL REFERENTE A PRESTAÇÃO DE LIMPEZA E SERVIÇOS EM GERAL DEZEMBRO/2025;;17/12/2025;;;;
39871419/0001-54;3D MULTISERVICOS LTDA;77;;;14.996,25;;16/12/2025;;1;92;FAC;92;FAC;2054;ADMINISTRACAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CELINA CASSIA CASTRO SOARES;17/12/2025;RECIBO REFERENTE A PRESTAÇÃO DE LIMPEZA E SERVIÇOS EM GERAL DEZEMBRO/2025;;17/12/2025;;;;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3214;;;8.740,00;242;16/12/2025;01/01/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;17/12/2025;TORNO - CONSERTO EM ALGEMAS UTILIZADAS NA NÓREA AÉREA DE PERNIL DA X-HAM, NO SETOR DE ESPOSTEJAMENTO;;17/12/2025;;;;
27412570/0001-45;CGL INOX;5499;1;55;165.996,74;;15/12/2025;29/01/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;WILLIAN MARCONDES DOS SANTOS;17/12/2025;SILOS CENTRAL DE ÁGUA QUENTE;;17/12/2025;;;;
27880008/0001-46;AWITE BIOENERGIA;405;1;55;1.992,73;242;17/12/2025;01/01/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;WILLIAN MARCONDES DOS SANTOS;17/12/2025;ASSISTÊNCIA TÉCNICA SERVIÇO DE  MANUTENÇÃO E CALIBRAÇÃO DO MEDIDOR DE GASES DO BIODIGESTOR.;;17/12/2025;;;;
76174911/0001-05;ELETROMOTOR;8393;;;1.140,00;242;16/12/2025;;1;92;FAC;92;FAC;1171;ENGENHARIA E MANUTENCAO MECANICA;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FELIPE LOPES CANALLI;17/12/2025;MOTOR DETECTOR DE METAL DA PELE OS 96838;;17/12/2025;;;;
Unidade;Abreviatura unidade;Situação;Qtde;;;;;;;;;;;;;;;;;;;;;;;
Unidade;Abreviatura unidade;Situação;Qtde;;;;;;;;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;AGUARDANDO AUTORIZAÇÃO;7;;;;;;;;;;;;;;;;;;;;;;;
