Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;uso contabil;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;103853;;;4.731,18;;12/12/2025;12/01/2026;5;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;AUTORIZADA;Solicitação autorizada por: GISELE BRUZZI PORTO em: 17/12/2025 13:41:02 ;TATIANA CAVALCANTE DA SILVA;17/12/2025;REFERENTE A CUSTO COM MONITORAMENTO E ENERGIA, CARGA: 1404423 NOTA: 103853.;;17/12/2025;;;GISELE BRUZZI PORTO;
42278291/0001-24;LOG-IN - LOGISTICA INTERMODAL S/A;40839;;;600;;12/12/2025;12/01/2026;5;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;AUTORIZADA;Solicitação autorizada por: GISELE BRUZZI PORTO em: 17/12/2025 13:41:02 ;TATIANA CAVALCANTE DA SILVA;17/12/2025;CUSTO COM DEMURRAGEM, CONT: TCLU1162180, EM VIRTUDE DA NÃO CAPACIDADE DE RECEBIMENTO, ARMAZEM CHEIO. CARGA: 14044023;;17/12/2025;;;GISELE BRUZZI PORTO;
11318959/0001-96;METAL C;743;;;103.000,00;;16/12/2025;01/01/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:35:10 ;CAMILA RAMOS;17/12/2025;MATERIAL E MÃO DE OBRA PARA REALIZAÇÃO DE MONTAGEM DE REDE DE UTILIDADES CONTEMPLANDO, REDE DE VAPOR, REDE DE ÁGUA TEMPERATURA 38ºC, REDE DE ÁGUA TEMPERATURA 45ºC, REDE DE VAPOR E REDE DE AR COMPRIMIDO CONTENDO AS DERIVAÇÕES NECESSÁRIAS PARA LIGAÇÃO DOS EQUIPAMENTOS DA BARREIRA SANITÁRIA (TRÊS UNIDADES DE LAVADORES DE MÃO E TRÊS UNIDADES DE LAVADORES DE BOTAS),  LIGAÇÃO DE MÁQUINA LAVADORA DE CONTENTORES E INSTALAÇÃO DE PONTO DE HIGINIZAÇÃO NAS SALAS.  ;;17/12/2025;;;VANESSA CORREA DE MORAES MARTINI;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3211;;;665;242;10/12/2025;01/01/2026;7;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:34:36 ;CAMILA RAMOS;17/12/2025;TORNO - USINAGEM EM RODA GUIA DA NÓREAS DO ABATE.;;17/12/2025;;;VANESSA CORREA DE MORAES MARTINI;
57443549/0001-78;C&E SERVICE;100;;;30.974,08;242;17/12/2025;01/01/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:33:20 ;CAMILA RAMOS;17/12/2025;MANUTENÇÃO PREVENTIVA EM 37 CABINES ELÉTRICAS DA UNIDADE;;17/12/2025;;;VANESSA CORREA DE MORAES MARTINI;
77781706/0001-62;HOSPITAL GERAL UNIMED;875651;;;108.990,14;;05/12/2025;24/12/2025;11;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;AUTORIZADA;Solicitação autorizada por: PAULA FERNANDA DA SILVA GIACOMELLI em: 16/12/2025 16:26:04 ;JOSIANE DE ALMEIDA OSMARIN;16/12/2025;PLANO NACIONAL - NÃO PAGAR VIA DEPÓSITO / PAGAR SOMENTE VIA BOLETO;;16/12/2025;;;PAULA FERNANDA DA SILVA GIACOMELLI;
77781706/0001-62;HOSPITAL GERAL UNIMED;875652;;;188.909,75;;05/12/2025;24/12/2025;11;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;AUTORIZADA;Solicitação autorizada por: PAULA FERNANDA DA SILVA GIACOMELLI em: 16/12/2025 16:26:04 ;JOSIANE DE ALMEIDA OSMARIN;16/12/2025;PLANO REGIONAL - NÃO PAGAR VIA DEPÓSITO / PAGAR SOMENTE VIA BOLETO;;16/12/2025;;;PAULA FERNANDA DA SILVA GIACOMELLI;
13704733/0001-59;TRÊS QUADROS FILMES;472;;;235.000,00;;15/12/2025;20/12/2025;1;92;FAC;92;FAC;2054;ADMINISTRACAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 17:29:49 ;RAFAEL SALVI DOS SANTOS;16/12/2025;CRIAÇÃO E PRODUÇÃO FILME TURMINHA DA RECICLAGEMREF. AO INCENTIVO DE  CONTRIBUIÇÃO DE 3% - PARANA COMPETITIVO (CRÉDITO PRESUMIDO DE COMPRA) - CONFORME ORIENTAÇÃO FISCAL;;16/12/2025;;;VANESSA CORREA DE MORAES MARTINI;
08050646/0001-95;AUTO POSTO SUL PARANA LTDA;75492;1;55;1.235,46;;16/12/2025;25/12/2025;0;92;FAC;92;FAC;728;GESTAO DE VEICULOS;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 17:15:10 ;RODRIGO WALTER;16/12/2025;REFERENTE ABASTECIMENTO DA FROTA DA UNIDADE DA PRIMEIRA QUINZENA DE DEZEMBRO;;16/12/2025;;;VANESSA CORREA DE MORAES MARTINI;
51057772/0001-09;JL RIBEIRO SOLUCOES LTDA;6;;;2.800,00;;12/12/2025;02/01/2026;4;92;FAC;92;FAC;1759;CONTROLE DE QUALIDADE;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 17:15:16 ;GABRIELLE APARECIDA CARVALHO;16/12/2025;FRETE DE ANÁLISE LABORATORIAL;;16/12/2025;;;VANESSA CORREA DE MORAES MARTINI;
