Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;uso contabil;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;191141;11;57;120;;15/12/2025;05/01/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:33:50 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;ADRIANA APARECIDA DOS SANTOS;17/12/2025;REFERENTE ENVIO PARA CONSERTO;;17/12/2025;;17/12/2025 14:45;VANESSA CORREA DE MORAES MARTINI;
09375382/0001-02;VOLT ELETRONICA INDUSTRIAL;5150;S;99;2.640,00;242;09/12/2025;23/01/2026;8;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:34:37 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;CAMILA RAMOS;17/12/2025;CONSERTO ELETRÔNICO EM INVERSOR DE FREQUÊNCIA LENZE 8400 2.4 A;;17/12/2025;;17/12/2025 17:00;VANESSA CORREA DE MORAES MARTINI;
09135637/0001-60;GN9V LTDA;290;S;99;1.500,00;;03/11/2025;18/12/2025;44;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:34:11 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;CAMILA RAMOS;17/12/2025;LOCAÇÃO DE DETECTOR DE METAIS PARA A LINHA DA TERMOFORMADORA F200. ORÇAMENTO É REFERENTE AOS DIAS RESIDUAIS DE OUTUBRO EM QUE O DETECTOR FICOU LOCADO EM NOSSA UNIDADE.;;17/12/2025;;17/12/2025 15:09;VANESSA CORREA DE MORAES MARTINI;
78706751/0014-30;TRANSPEN ENCOMENDAS;168158;1;57;248,6;242;12/12/2025;02/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:33:50 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;ADRIANA APARECIDA DOS SANTOS;17/12/2025;REFERENTE ENVIO PARA CONSERTO;;17/12/2025;;17/12/2025 14:47;VANESSA CORREA DE MORAES MARTINI;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;191053;11;57;1.452,00;;12/12/2025;02/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:33:50 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;ADRIANA APARECIDA DOS SANTOS;17/12/2025;REFERENTE ENVIO PARA CONSERTO DE CADEIRAS;;17/12/2025;;17/12/2025 14:47;VANESSA CORREA DE MORAES MARTINI;
78706751/0014-30;TRANSPEN ENCOMENDAS;168162;1;57;287,27;242;12/12/2025;02/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:33:50 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;ADRIANA APARECIDA DOS SANTOS;17/12/2025;DEVOLUÇÃO DE RÁDIO COM DEFEITO PARA ABIX;;17/12/2025;;17/12/2025 14:46;VANESSA CORREA DE MORAES MARTINI;
01341776/0011-00;MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA;66460;3;57;716,42;;14/11/2025;22/12/2025;33;92;FAC;28;U.V. RECIFE/CB.ST.AG;1902;OPERACIONAL;LANÇADA;Solicitação autorizada por: GISELE BRUZZI PORTO em: 17/12/2025 10:28:31 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;BRUNA KARLA LIRA GOMES;17/12/2025;REFERENTE AO CUSTO COM ARMAZENAGEM CARGA: 14050066 NOTA: 66460.;;17/12/2025;;17/12/2025 16:51;GISELE BRUZZI PORTO;
78706751/0014-30;TRANSPEN ENCOMENDAS;168179;1;57;217,67;242;12/12/2025;02/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 17/12/2025 13:34:36 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;ADRIANA APARECIDA DOS SANTOS;17/12/2025;REFERENTE ENVIO PARA CONSERTO;;17/12/2025;;17/12/2025 14:46;VANESSA CORREA DE MORAES MARTINI;
58146236/0001-10;PHDS COMERCIO DE FERRAGENS LTDA;475;U;99;100.000,00;;15/12/2025;15/01/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 17:21:44 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;CAMILA RAMOS;16/12/2025;INSTALAÇÃO DE PLATAFORMAS E ESCADAS PARA ACESSO AOS PAINÉIS DE VÁLVULA DE AMONIA NOS SETORES DE CORTES, PALETIZAÇÃO E ESTOCAGEM PARA FACILIAR A MANUTENÇÃO E MANOBRAS NAS VÁLVULAS;;16/12/2025;;17/12/2025 08:15;VANESSA CORREA DE MORAES MARTINI;
12390636/0001-76;MILTON GERALDO WOLINSKI JUNIOR;13982;S;99;2.015,00;242;09/12/2025;;7;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 10:43:14 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;ALANA TELES SURRASKI;16/12/2025;CONSERTO CATRACAS DA PORTARIA PATRIMÔNIO 255472 E RESTAURANTE PATRIMÔNIO 259512.;;16/12/2025;Autorizado automaticamente através do pedido de compra 4439508 em 11/12/2025.;17/12/2025 15:14;VANESSA CORREA DE MORAES MARTINI;
51207785/0001-09;BRAPENTA ELETRONICA LTDA;17971;5;55;33.000,00;242;10/12/2025;09/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 16/12/2025 08:17:03 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 16/12/2025;ADRIANA APARECIDA DOS SANTOS;16/12/2025;PAINEL PLASTICO P/DETECTOR STEALTH COD.NCPLB01STSP,FORTRESS;;16/12/2025;Autorizado automaticamente através do pedido de compra 4440243 em 10/12/2025.;16/12/2025 08:18;ADRIANO TOMALOK;
06113322/0001-23;ABIX TECNOLOGIA LTDA;74838;S;99;6.250,23;;15/12/2025;30/01/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 09:56:47 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;CAMILA RAMOS;15/12/2025;SERVIÇO DE LOCAÇÃO DE RADIOTRANSMISSORES E CENTRAL, COMPOSTA POR UM SISTEMA DE REPETIDORAS E BATERIAS ESTACIONÁRIAS, PARA A PLANTA.CONTRATO 114402 - 9654;;16/12/2025;;17/12/2025 08:11;VANESSA CORREA DE MORAES MARTINI;
03068511/0001-33;CRICOM DO BRASIL LTDA;1254;62;62;415;;15/12/2025;30/01/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 09:56:47 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 17/12/2025;CAMILA RAMOS;15/12/2025;SERVIÇO DE LEGALIZAÇÃO E LICENCIAMENTO DOS COMUNICADORES RADIOFREQUÊNCIA JUNTO A ANATEL.;;16/12/2025;;17/12/2025 08:03;VANESSA CORREA DE MORAES MARTINI;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19752;1;55;4.992,16;242;10/12/2025;26/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 15/12/2025 17:15:10 Nota lançada por BARBARA REGINA LIPPERT em: 16/12/2025;BARBARA REGINA LIPPERT;15/12/2025;GARFO STD 100X40X1220 2A;;15/12/2025;;16/12/2025 15:00;ADRIANO TOMALOK;
18177521/0001-84;ASLOG;5580;2;57;1.647,72;;26/09/2025;17/12/2025;80;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 16/12/2025 09:57:02 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 16/12/2025;ADRIANA APARECIDA DOS SANTOS;15/12/2025;CTE EMITIDO INCORRETAMENTE COMO UNIDADE DE CASTRO COMO TOMADOR, CTE NÃO ESTAVA IMPORTADO NA 175 POR ESSE MOTIVO NÃO LOCALIZAMOS NAS PENDÊNCIAS;;16/12/2025;;16/12/2025 14:06;VANESSA CORREA DE MORAES MARTINI;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19751;1;55;4.992,16;242;10/12/2025;26/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 15/12/2025 17:15:10 Nota lançada por BARBARA REGINA LIPPERT em: 16/12/2025;BARBARA REGINA LIPPERT;15/12/2025;GARFO STD 100X40X1220 2A;;15/12/2025;;16/12/2025 15:02;ADRIANO TOMALOK;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19750;1;55;3.480,59;242;09/12/2025;23/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 15/12/2025 17:15:11 Nota lançada por BARBARA REGINA LIPPERT em: 16/12/2025;BARBARA REGINA LIPPERT;15/12/2025;PLACA DE COMANDO ALÇAS INFERIOR ALÇAS SUPERIOR;;15/12/2025;;16/12/2025 15:12;ADRIANO TOMALOK;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19749;1;55;2.766,03;242;09/12/2025;23/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 15/12/2025 17:15:11 Nota lançada por BARBARA REGINA LIPPERT em: 16/12/2025;BARBARA REGINA LIPPERT;15/12/2025;RODA DE POLIURETANO;;15/12/2025;;16/12/2025 15:08;ADRIANO TOMALOK;
