Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
78706751/0014-30;TRANSPEN ENCOMENDAS;170433;1;57;282,98;08/01/2026;29/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;REFERENTE ENVIO PARA CONSERTO;;13/01/2026;;;;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;192251;11;57;503;06/01/2026;27/01/2026;7;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;REFERENTE ENVIO PARA CONSERTO;;13/01/2026;;;;
92753268/0052-62;STEMAC S/A - GRUPO GERADORES;194071;1;55;924,57;02/01/2026;16/02/2026;11;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;WILLIAN MARCONDES DOS SANTOS;13/01/2026;GERADOR DE ENERGIA ESTÁ MISTURANDO ÁGUA NO ÓLEO LUBRIFICANTE DO MOTOR DO GERADOR, NECESSIDADE DE REPARO.;;13/01/2026;;;;
02427026/0009-01;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;186530;4;57;9.994,86;23/12/2025;23/01/2026;21;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  DIRCEU ANGNES | GISELE BRUZZI PORTO | MICHAEL DUARTE DA LUZ | BRUNO BEZERRA DE ALMEIDA | SAMUEL PACHECO DA SILVA | FELIPE DE MENEZES BEZERRA CAMPOS | ;JEVSON JOSE ALVES FEITOSA;13/01/2026;REFERENTE A CARGA 14305691 NF 042875 NF 042876 NF 042877;;13/01/2026;;;;
10741822/0001-87;MEGA GUINDASTES LTDA;10704;;;8.500,00;12/01/2026;12/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 13/01/2026 16:13:20 ;FRANCILEI SOUZA ALVES;13/01/2026;SERVIÇO DE LOCAÇÃO DE GUINDASTE 70T.;;13/01/2026;;;VANESSA CORREA DE MORAES MARTINI;
18114725/0001-76;PMP LAMINAS;1618;;;15.346,53;12/12/2025;15/01/2026;32;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;13/01/2026;SERVIÇO DE CONSERTO DE MÁQUINA SKINNER MAREL.;;13/01/2026;;;;
52025018/0001-41;CONSTRUTORA DE PAULA;392;;;16.900,00;07/01/2026;07/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;13/01/2026;PREPARAÇÃO E PINTURA DE SUPERFÍCIE, EM EPÓXI BRANCO (450 M²)PREPARAÇÃO E PINTURA DE RODAPÉS, EM EPÓXI CINZA (100 M²)PINTURA INTERNA E EXTERNA DE PORTAS, NA COR AMARELA (15 UN.)PREPARAÇÃO E PINTURA DE VENTILADORES TIPO AVIÁRIO, NA COR CINZA (20 UN.);;13/01/2026;;;;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;192252;11;57;1.073,00;06/01/2026;27/01/2026;7;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 13/01/2026 16:14:03 ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;REFERENTE ENVIO PARA CONSERTO;;13/01/2026;;;VANESSA CORREA DE MORAES MARTINI;
51057772/0001-09;JL RIBEIRO SOLUCOES LTDA;57;;;1.400,00;08/01/2026;29/01/2026;5;92;FAC;92;FAC;1759;CONTROLE DE QUALIDADE;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 13/01/2026 16:14:02 ;GABRIELLE APARECIDA CARVALHO;13/01/2026;FRETE DE ANÁLISE LABORATORIAL;;13/01/2026;;;VANESSA CORREA DE MORAES MARTINI;
03176066/0001-25;BUSCH DO BRASIL LTDA;122035;2;55;34.581,94;05/01/2026;19/02/2026;8;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;WILLIAN MARCONDES DOS SANTOS;13/01/2026;SERVIÇO DE CONSERTO EM MOTOBOMBA DE VÁCUO BUSCH RA 160 SN C1403000182.;;13/01/2026;;;;
