Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;uso contabil;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
02427026/0009-01;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;185377;4;57;10.008,20;171,00;03/12/2025;10/01/2026;28;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: MICHAEL DUARTE DA LUZ em: 31/12/2025 11:23:41 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 05/01/2026;GUSTAVO LUIZ GOMES DOS SANTOS;31/12/2025;CTE 185377 NFS 41592 / 41593 CARGA 14232511;;31/12/2025;;05/01/2026 14:15;MICHAEL DUARTE DA LUZ;
04368898/0001-06;COPEL DISTRIBUICAO S.A.;316122;2;66;839.887,47;30,00;18/12/2025;01/01/2026;12;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 30/12/2025 16:49:20 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ADRIANA APARECIDA DOS SANTOS;30/12/2025;ENERGIA ELÉTRICA;;30/12/2025;;30/12/2025 17:06;VANESSA CORREA DE MORAES MARTINI;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;192109;11;57;267;242;29/12/2025;19/01/2026;1;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 30/12/2025 16:04:08 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ADRIANA APARECIDA DOS SANTOS;30/12/2025;REFERENTE ENVIO PARA CONSERTO;;30/12/2025;;30/12/2025 16:08;VANESSA CORREA DE MORAES MARTINI;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;192110;11;57;102;242;29/12/2025;19/01/2026;1;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 30/12/2025 16:04:08 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ADRIANA APARECIDA DOS SANTOS;30/12/2025;REFERENTE ENVIO PARA CONSERTO;;30/12/2025;;30/12/2025 16:10;VANESSA CORREA DE MORAES MARTINI;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;192037;11;57;124;242;22/12/2025;12/01/2026;8;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 30/12/2025 15:51:21 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ADRIANA APARECIDA DOS SANTOS;30/12/2025;REFERENTE ENVIO PARA CONSERTO;;30/12/2025;;30/12/2025 15:59;VANESSA CORREA DE MORAES MARTINI;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;191936;11;57;114;242;19/12/2025;09/01/2026;11;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 30/12/2025 15:51:21 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ADRIANA APARECIDA DOS SANTOS;30/12/2025;REFERENTE ENVIO PARA CONSERTO;;30/12/2025;;30/12/2025 16:02;VANESSA CORREA DE MORAES MARTINI;
42278291/0001-24;LOG-IN - LOGISTICA INTERMODAL S/A;40721;S;99;3.900,00;233,00;11/12/2025;11/01/2026;19;92;FAC;69;U.V. FORTALEZA;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: DIRCEU ANGNES em: 30/12/2025 14:13:02 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ANDERSON PERES MARTINS;30/12/2025;CUSTO EXTRA DE DEMURRAGE - CONTAINER DE Nº MEDU9664997 - (NFS  39037 / 39038  - CARGA: 14076429) FRETE DA LOG-IN - CTE COMPLEMENTAR 98274;;30/12/2025;;30/12/2025 15:30;DIRCEU ANGNES;
09461508/0001-61;STEEL COMERCIO DE PECAS E EQUIP. INDUSTRIAIS LTDA;11788;1;55;7.985,60;;26/12/2025;23/01/2026;4;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 30/12/2025 14:05:09 Nota lançada por WILLIAN MARCONDES DOS SANTOS em: 30/12/2025;WILLIAN MARCONDES DOS SANTOS;30/12/2025;;;30/12/2025;Autorizado automaticamente através do pedido de compra 4456807 em 29/12/2025.;30/12/2025 14:05;VANESSA CORREA DE MORAES MARTINI;
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;103781;59;57;5.161,29;233,00;11/12/2025;11/01/2026;19;92;FAC;69;U.V. FORTALEZA;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: DIRCEU ANGNES em: 30/12/2025 14:13:02 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ANDERSON PERES MARTINS;30/12/2025;CUSTO EXTRA DE MONITORAMENTO E ENERGIA - CONTAINER DE Nº MEDU9664997 - (NFS  39037 / 39038  - CARGA: 14076429) FRETE DA LOG-IN - CTE COMPLEMENTAR 98274;;30/12/2025;;30/12/2025 15:10;DIRCEU ANGNES;
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;103773;59;57;3.225,81;233,00;11/12/2025;11/01/2026;19;92;FAC;69;U.V. FORTALEZA;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: DIRCEU ANGNES em: 30/12/2025 14:13:02 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 30/12/2025;ANDERSON PERES MARTINS;30/12/2025;CUSTO EXTRA DE ARMAZENAGEM - CONTAINER DE Nº MEDU9664997 - (NFS  39037 / 39038  - CARGA: 14076429) FRETE DA LOG-IN - CTE COMPLEMENTAR 98274;;30/12/2025;;30/12/2025 14:59;DIRCEU ANGNES;
