Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19924;1;55;435,94;06/01/2026;20/02/2026;7;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 5A832506, NA DATA 05/12/2025 , CONFORME ORÇAMENTO 63132;;13/01/2026;;;;
03176066/0001-25;BUSCH DO BRASIL LTDA;122035;2;55;34.581,94;05/01/2026;19/02/2026;8;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;WILLIAN MARCONDES DOS SANTOS;13/01/2026;SERVIÇO DE CONSERTO EM MOTOBOMBA DE VÁCUO BUSCH RA 160 SN C1403000182.;;13/01/2026;;;;
92753268/0052-62;STEMAC S/A - GRUPO GERADORES;194071;1;55;924,57;02/01/2026;16/02/2026;11;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;WILLIAN MARCONDES DOS SANTOS;13/01/2026;GERADOR DE ENERGIA ESTÁ MISTURANDO ÁGUA NO ÓLEO LUBRIFICANTE DO MOTOR DO GERADOR, NECESSIDADE DE REPARO.;;13/01/2026;;;;
09375382/0001-02;VOLT ELETRONICA INDUSTRIAL;5201;;;2.109,00;12/01/2026;12/02/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;14/01/2026;CONSERTO ELETRÔNICO EM CONTROLADOR DE TEMPERATURA ROPEX RES-5007;;14/01/2026;;;;
01654394/0001-64;USINAGEM;941;;;44.497,50;09/01/2026;09/02/2026;0;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;TIAGO FARIAS DOS SANTOS;09/01/2026;N/F REFERENTE A MANUTENÇÃO E ISNTALAÇÃO AGITADOR DO BIODIGESTOR;;09/01/2026;;;;
60619202/0035-97;MESSER GASES LTDA;11;;;521,95;08/01/2026;08/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;09/01/2026;"ASSISTENCIA TÉCNICA DO TANQUE DE CO2. - 112582 - 14441;;09/01/2026;;;;
00869496/0001-34;METALURGICA BALENA;19888;;;4.240,00;07/01/2026;07/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;08/01/2026;FABRICAÇÃO E INSTALAÇÃO DE AGITADOR TANQUE DE LODO ETE;;08/01/2026;;;;
52025018/0001-41;CONSTRUTORA DE PAULA;392;;;16.900,00;07/01/2026;07/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;13/01/2026;PREPARAÇÃO E PINTURA DE SUPERFÍCIE, EM EPÓXI BRANCO (450 M²)PREPARAÇÃO E PINTURA DE RODAPÉS, EM EPÓXI CINZA (100 M²)PINTURA INTERNA E EXTERNA DE PORTAS, NA COR AMARELA (15 UN.)PREPARAÇÃO E PINTURA DE VENTILADORES TIPO AVIÁRIO, NA COR CINZA (20 UN.)""";;13/01/2026;;;;
43376589/0001-30;LM SERVICOS FLORESTAIS;1;;;5.100,00;06/01/2026;06/02/2026;4;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;TIAGO FARIAS DOS SANTOS;10/01/2026;N/F REFERENTE A LIMPEZA DAS CAMADAS FILTRANTES ETA 1;;10/01/2026;;;;
77037331/0001-20;ARCA EXTINTORES COM E REPRESENTACAO;7026;;;9.000,00;12/01/2026;05/02/2026;1;92;FAC;92;FAC;2101;SEGURANCA E SAUDE;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;SANDERSON GUILHERME BUENO DA LUZ;13/01/2026;DEVIDO A SERVIÇOS DE CONCERTOS E REPAROS.;;14/01/2026;;;;
49172605/0001-59;THOMAZ & BARONI MONTAGENS ( T&B);200;;;4.240,00;05/01/2026;05/02/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;07/01/2026;"SOLDAS SANITÁRIAS EM ESTRUTURAS DEEQUIPAMENTOS DO SETOR DE EMBALAGEM PRIMÁRIA INDÚSTRIA E INDUSTRIALIZADOS, SETOR DE EMBUT-COZIDOS E SETOR DE PRESUMTARIA.;;08/01/2026;;;;
45698498/0001-46;F&F MANUTENÇÃO DE VÁLVULAS INDUSTRIAIS E PRODUTOS;26;;;13.600,00;06/01/2026;03/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;12/01/2026;CONSERTO VÁLVULAS REDUTORAS DE PRESSÃO DE 2¿ POL E VÁLVULAS DE SEGURANÇA 1.1/2¿ POL.;;12/01/2026;;;;
49793963/0001-89;G.P DA LUZ;427;;;37.657,12;02/01/2026;02/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;08/01/2026;SERVIÇOS DE ELÉTRICA COMO MONTAGEM DE INFRAS E PASSAGEM DE CABOS, MONTAGEM DE TOMADAS, LIGAÇÃO DE APARELHOS E REFORMA DE PAINEIS ELÉTRICOS. SERVIÇO DE DESLIGAMENTO E REMOÇÃO DE INFRAS INUTILIZADAS QUE ESTÃO OBSOLETAS E SEM USO. TODOS OS SERVIÇOS SERÃO EXECUTADOS DENTRO DA UNIDADE FAC EM DIAS DE SEMANA E FINAIS DE SEMANA;;08/01/2026;;;;
78706751/0014-30;TRANSPEN ENCOMENDAS;170820;1;57;339,77;12/01/2026;02/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;REFERENTE ENVIO PARA CONSERTO;;13/01/2026;;;;
09375382/0001-02;VOLT ELETRONICA INDUSTRIAL;5200;;;1.828,00;12/01/2026;01/02/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;14/01/2026;CONSERTO ELETRÔNICO EM CONTROLADOR DE TEMPERATURA ROPEX;;14/01/2026;;;;
62857374/0001-85;BEMAG METALURGICA;4;;;7.600,00;09/01/2026;01/02/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;14/01/2026;CONFECÇÃO E INSTALAÇÃO DE 7 METROS DE PROTEÇÃO TÉRMICA E ISOLAÇÃO PARA AS TUBULAÇÕES DEVAPOR DO ABATE AREA SUJA 5008IPSERVIÇO SERÁ REALIZADO PARA ADEQUAÇÃO DAS ISOLAÇÕES TÉRMICAS DAS TUBULAÇÕES DE VAPOR DO ABATE ÁREA SUJA.""";;14/01/2026;;;;
78706751/0014-30;TRANSPEN ENCOMENDAS;170433;1;57;282,98;08/01/2026;29/01/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;REFERENTE ENVIO PARA CONSERTO;;13/01/2026;;;;
