Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;uso contabil;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
18597494/0001-07;DR SOLUCOES AMBIENTAIS;6659;;;2.264,17;;24/03/2026;24/04/2026;3;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI |;BARBARA REGINA LIPPERT;27/03/2026;OS 17100 - LIMPEZA COM HIDRAJATO NA TUBULAÇÃO;;27/03/2026;;;;
03420356/0001-72;EMPRESA DE TRANSPORTE PGTUR LTDA;130;;;475.993,44;;26/03/2026;02/04/2026;1;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  PAULA FERNANDA DA SILVA GIACOMELLI | GIZELI CASAL | JULIANA SCHERVINSKI | FABIANA MARIA SKOWRONSKI VAZ |;JOÃO PEDRO BARNINSKI;27/03/2026;;;27/03/2026;;;;
00664761/0001-48;RUFATTO EQUIPAMENTOS LTDA - ME;830;;;4.415,97;;26/03/2026;06/04/2026;1;92;FAC;92;FAC;2054;ADMINISTRACAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI |;NAVIER NUNES RESENDE;27/03/2026;IMPRESSÃO UNIDADE FAC;;27/03/2026;;;;
06272575/0011-11;LAVEBRAS GESTAO DE TEXTEIS S.A.;17047;;;136.313,10;;26/03/2026;06/04/2026;1;92;FAC;92;FAC;2178;VESTIARIOS/LAVANDERIA TERCEIRIZADA;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI |;ELENARA MOSNA;27/03/2026;112117;;27/03/2026;;;;
81317208/0001-30;BLUTRAFOS;72683;1;55;468.750,00;;24/03/2026;08/05/2026;3;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 27/03/2026 08:08:15 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;ADRIANA APARECIDA DOS SANTOS;27/03/2026;AMPLIAÇÃO SM;;27/03/2026;;27/03/2026 09:57;CRISTIANO RODEGHIERO MOREIRA;
00869496/0001-34;METALURGICA BALENA;20451;S;99;20.875,00;;25/03/2026;09/05/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 27/03/2026 08:08:15 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;BARBARA REGINA LIPPERT;26/03/2026;SERVIÇOS MECÂNICOS EM GERALCORREÇÃO DE SOLDAS EM ESTRUTURAS DE ESTEIRASCORREÇÃO DE SOLDAS EM CHAPAS E PROTEÇÕES DA LINHA DE EVISCERAÇÃO E ESPOTEJAMENTOCONSERTO DE GAIOLASCONSERTO CARRINHO DE MIÚDOSCONSERTO CARRINHO DE COZIMENTO DAS ESTUFAS;;27/03/2026;;27/03/2026 08:42;CRISTIANO RODEGHIERO MOREIRA;
52025018/0001-41;CONSTRUTORA DE PAULA;428;U;99;15.103,00;;25/03/2026;25/04/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 27/03/2026 08:08:15 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;BARBARA REGINA LIPPERT;26/03/2026;REPARO EM 100M² DE PISO EM URETANO REPARO EM 30 PONTOS EM RODAPÉ EM URETANO.;;27/03/2026;;27/03/2026 10:04;CRISTIANO RODEGHIERO MOREIRA;
04088208/0001-65;CGMP-CENTRO DE GESTAO DE MEIOS DE PAGAMENTO S.A.;685061669;;;634,2;;23/03/2026;30/03/2026;3;92;FAC;92;FAC;2054;ADMINISTRACAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 26/03/2026 18:33:17;CELINA CASSIA CASTRO SOARES;26/03/2026;BOLETO/NF REF A DESPESAS COM PEDÁGIO VEÍCULOS AURORA - TAG SEM PARAR MARÇO/2026;;26/03/2026;;;VANESSA CORREA DE MORAES MARTINI;
34688029/0001-20;PROJECT SERVICOS TERCEIRIZADOS LTDA;572;S;99;62.261,24;;25/03/2026;;1;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 26/03/2026 18:33:17 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;CELINA CASSIA CASTRO SOARES;26/03/2026;NOTA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE VIGIA PORTEIRO EM MARÇO/2026;;26/03/2026;;27/03/2026 08:30;VANESSA CORREA DE MORAES MARTINI;
51057772/0001-09;JL RIBEIRO SOLUCOES LTDA;29;;;3.000,00;;24/03/2026;15/04/2026;2;92;FAC;92;FAC;1759;CONTROLE DE QUALIDADE;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | MARCELO TIRELLI DE SIQUEIRA |;GABRIELLE APARECIDA CARVALHO;26/03/2026;FRETE DE ANÁLISE LABORATORIAL;;26/03/2026;;;;
94088952/0001-52;LABORATORIO ALAC LTDA;130884;;;6.961,96;;23/03/2026;12/04/2026;3;92;FAC;92;FAC;1759;CONTROLE DE QUALIDADE;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | MARCELO TIRELLI DE SIQUEIRA |;GABRIELLE APARECIDA CARVALHO;26/03/2026;SERVIÇO DE ANÁLISE LABORATORIAL;;26/03/2026;;;;
04647090/0001-68;CETRIC S.A.;513797;;;39.286,90;;26/03/2026;26/04/2026;0;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 27/03/2026 08:08:14;KAREN DA ROSA OLIVEIRA;26/03/2026;SERVIÇO REALIZADO PARA COLETA, LOCAÇÃO E DESTINAÇÃO DE RESÍDUOS;;27/03/2026;;;CRISTIANO RODEGHIERO MOREIRA;
04368898/0001-06;COPEL DISTRIBUICAO S.A.;222288472;3;66;19.095,36;;18/03/2026;;8;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 26/03/2026 18:33:17 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;ADRIANA APARECIDA DOS SANTOS;26/03/2026;REFERENTE FATURA ENERGIA COPEL COMP.03/26 (CAPTAÇÃO DE AGUA);;26/03/2026;;27/03/2026 09:09;VANESSA CORREA DE MORAES MARTINI;
04368898/0001-06;COPEL DISTRIBUICAO S.A.;366213;2;66;869.072,59;;18/03/2026;;8;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 26/03/2026 18:33:17 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;ADRIANA APARECIDA DOS SANTOS;26/03/2026;REFERENTE FATURA DE ENERGIA ELETRICA;;26/03/2026;;27/03/2026 09:11;VANESSA CORREA DE MORAES MARTINI;
02427026/0009-01;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;191461;;;9.907,46;;10/03/2026;16/04/2026;16;92;FAC;26;U.V. IMP/EXP ITAJAI;6055;FRETES ME;AUTORIZADA;Solicitação autorizada por: FLAVIO EMANOEL WERNER em: 26/03/2026 14:26:16;ANDRESSA FERREIRA DE CASTRO DALL ACQUA;26/03/2026;CTE 191461 | NFS 47296 | CONTEINER MNBU4379853 | CARGA 14566703 | BOOKING 6AIBK6683;;26/03/2026;;;FLAVIO EMANOEL WERNER;
02427026/0009-01;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;191460;;;9.904,89;;10/03/2026;16/04/2026;16;92;FAC;26;U.V. IMP/EXP ITAJAI;6055;FRETES ME;AUTORIZADA;Solicitação autorizada por: FLAVIO EMANOEL WERNER em: 26/03/2026 14:26:16;ANDRESSA FERREIRA DE CASTRO DALL ACQUA;26/03/2026;CTE 191460 | NFS 47346 | CONTEINER MNBU0186373 | CARGA 14567023 | BOOKING  6AIBK6683;;26/03/2026;;;FLAVIO EMANOEL WERNER;
05170344/0001-62;R.P.G ROLAMENTOS PONTA GROSSA LTDA;55194;2;55;1.004,00;;20/03/2026;27/03/2026;6;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 26/03/2026 09:47:59 Nota lançada por RAFAEL SALVI DOS SANTOS em: 26/03/2026;RAFAEL SALVI DOS SANTOS;26/03/2026;MATERIAL RETIRADO NO DIA 20/03 PARA REVISÃO DA PARTE MOTORA DO EIXO Y DA SERRA AUTO SPLITTER;;26/03/2026;Autorizado automaticamente através do pedido de compra 4539104 em 25/03/2026.;26/03/2026 09:50;ADRIANO TOMALOK;
50087169/0001-07;50.087.169 RAFAEL JOSE CASTANHO;87;;;600;;22/03/2026;01/04/2026;4;92;FAC;92;FAC;2054;ADMINISTRACAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 26/03/2026 11:27:44;VITOR FERNANDES;26/03/2026;LAVAGENS DOS VEICULOS DO MÊS DE MARÇO;;26/03/2026;;;VANESSA CORREA DE MORAES MARTINI;
89848543/0656-27;LOJAS COLOMBO;661018;2;55;789,17;;17/03/2026;;9;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 14:29:17 Nota lançada por WILLIAN MARCONDES DOS SANTOS em: 26/03/2026;WILLIAN MARCONDES DOS SANTOS;26/03/2026;FORNO ELETRICO INOX;;26/03/2026;;26/03/2026 17:12;CRISTIANO RODEGHIERO MOREIRA;
23982091/0001-03;CONSTRUTORA PLENA LTDA - ME;880;;;482.630,00;;25/03/2026;25/04/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 08:21:05;BARBARA REGINA LIPPERT;26/03/2026;MATERIAL, MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS PARA REALIZAÇÃO DO SERVIÇO DE ALTERAÇÃO DO DIF DA UNIDADE NA PARADA PROGRAMADA NOS DIAS 19/03 A 22/03;;26/03/2026;;;CRISTIANO RODEGHIERO MOREIRA;
07756651/0001-55;BRASIL SERVS DE TELECOMUNICACOES LTDA;1207618;;;1.490,00;;25/03/2026;19/04/2026;0;92;FAC;92;FAC;2054;ADMINISTRACAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 26/03/2026 11:27:44;NAVIER NUNES RESENDE;25/03/2026;TELEFONIA CONTRATO: PROH430LU82A;;26/03/2026;;;VANESSA CORREA DE MORAES MARTINI;
01090631/0001-01;BERENICE ZANETTI GOMES PAVESI LTDA;17813;;;7.068,00;;16/03/2026;05/04/2026;9;92;FAC;92;FAC;2101;SEGURANCA E SAUDE;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 25/03/2026 16:46:39;SANDERSON GUILHERME BUENO DA LUZ;25/03/2026;COMPRA DE PLACAS PARA IDENTIFICAÇÃO DOS EXTINTORES DA UNIDADE.;;25/03/2026;;;VANESSA CORREA DE MORAES MARTINI;
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;110639;;;9.896,08;;07/03/2026;07/04/2026;18;92;FAC;26;U.V. IMP/EXP ITAJAI;6055;FRETES ME;AUTORIZADA;Solicitação autorizada por: FLAVIO EMANOEL WERNER em: 26/03/2026 10:40:19;PRISCILA APARECIDA DA SILVA CANDIDO;25/03/2026;CTE 110639 | NFS 47252 - 47253 | CONTEINER MSCU7301379 | CARGA 14560418 | BOOKING LA0478958;;26/03/2026;;;FLAVIO EMANOEL WERNER;
44002122/0001-92;SL SERVIÇOS AGRÍCOLAS;384;;;42.498,00;;24/03/2026;24/04/2026;1;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:57;KAREN DA ROSA OLIVEIRA;25/03/2026;SERVIÇO DE SUCÇÃO DE DIGESTATO EM SOLOS AGRICOLAS;;26/03/2026;;;CRISTIANO RODEGHIERO MOREIRA;
01897898/0001-05;TRANSFLUGEL;4162;;;160.133,00;;25/03/2026;02/04/2026;0;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;AUTORIZADA;Solicitação autorizada por: GIZELI CASAL em: 25/03/2026 16:08:27;GUSTAVO NATHAN ALVES DA COSTA;25/03/2026;;;25/03/2026;;;GIZELI CASAL;
14278989/0001-04;DESBRAVA SERVICOS LTDA;1326;S;99;54.000,00;;25/03/2026;;0;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 25/03/2026 16:45:41 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;CELINA CASSIA CASTRO SOARES;25/03/2026;NOTA REFERENTE A PRESTAÇÃO DE SERVIÇO - LIMPEZA FACILITIES MÊS MARÇO/2026;;25/03/2026;;26/03/2026 10:24;VANESSA CORREA DE MORAES MARTINI;
49793963/0001-89;G.P DA LUZ;516;U;99;4.800,00;;25/03/2026;25/04/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:57;BARBARA REGINA LIPPERT;25/03/2026;LOCAÇÃO DE 1 PLATAFORMA TESOURA DE 8M;;26/03/2026;;;CRISTIANO RODEGHIERO MOREIRA;
24012574/0001-48;CICASTRO;29202;U;99;640;;18/03/2026;;7;92;FAC;92;FAC;2101;SEGURANCA E SAUDE;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 25/03/2026 15:35:43 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;FELIPE DOMINGUES;25/03/2026;EXAMES REFERENTE ACIDENTES DE TRABALHO;;25/03/2026;Autorizado automaticamente através do pedido de compra 4538179 em 25/03/2026.;26/03/2026 10:31;ADRIANO TOMALOK;
50685378/0001-44;MECANICA VALENGA LTDA;464;U;99;550;;25/03/2026;25/04/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:57 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;BARBARA REGINA LIPPERT;25/03/2026;SERVIÇO DE REVISÃO/ CALIBRAÇÃO DOS BICOS INJETORES DE DIESEL DO MOTOR A COMBUSTÃO DA BOMBA DE COMBATE A INCÊNDIO.;;26/03/2026;;26/03/2026 10:04;CRISTIANO RODEGHIERO MOREIRA;
50685378/0001-44;MECANICA VALENGA LTDA;463;U;99;2.725,92;;25/03/2026;25/04/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:57 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;BARBARA REGINA LIPPERT;25/03/2026;SERVIÇO DE SUBSTITUIÇÃO DO SUPORTE DE FILTRO DE AR DA MÁQUINA RETROESCAVADEIRA JOHN DEERE.;;26/03/2026;;26/03/2026 10:07;CRISTIANO RODEGHIERO MOREIRA;
18597494/0001-07;DR SOLUCOES AMBIENTAIS;6660;U;99;4.550,00;;24/03/2026;24/04/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:58 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;BARBARA REGINA LIPPERT;25/03/2026;OS 17049 - LIMPEZA TÉCNICA COM HIDRAJATO, SUCÇÃO E TRANSFERÊNCIA INTERNA DE RESÍDUOS;;26/03/2026;;27/03/2026 08:06;CRISTIANO RODEGHIERO MOREIRA;
41602792/0001-51;MATOS & MONTEIRO;58;S;99;11.488,00;;23/03/2026;23/04/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:58 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;BARBARA REGINA LIPPERT;25/03/2026;SERVIÇO DE RETIRADA/ MONTAGEM DO TELHADO E DESMONTAGEM/ MONTAGEM DOS DUTOS DO MULTICICLONE DA CALDEIRA DE 15T.;;26/03/2026;;26/03/2026 17:52;CRISTIANO RODEGHIERO MOREIRA;
10341936/0001-30;DORTA ASSESSORIA OCUPACIONAL;10;S;99;120;;23/03/2026;;2;92;FAC;92;FAC;2101;SEGURANCA E SAUDE;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 25/03/2026 14:14:12 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;FELIPE DOMINGUES;25/03/2026;REFERENTE A EXAMES OCUPACIONAIS DOS JOVENS APRENDIZES DE LONDRINA NA ESCOLA EPESMEL.;;25/03/2026;Autorizado automaticamente através do pedido de compra 4538180 em 25/03/2026.;26/03/2026 10:11;ADRIANO TOMALOK;
52025018/0001-41;CONSTRUTORA DE PAULA;426;U;99;25.832,00;;24/03/2026;24/04/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/03/2026 06:38:58 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 27/03/2026;BARBARA REGINA LIPPERT;25/03/2026;PREPARAÇÃO E PINTURA DE SUPERFÍCIE, EM EPÓXI BRANCO (450 M²)PREPARAÇÃO E PINTURA DE RODAPÉS, EM EPÓXI CINZA (100 M²)PINTURA INTERNA E EXTERNA DE PORTAS, NA COR AMARELA (15 UN.)PREPARAÇÃO E PINTURA DE VENTILADORES TIPO AVIÁRIO, NA COR CINZA (20 UN.);;26/03/2026;;27/03/2026 10:15;CRISTIANO RODEGHIERO MOREIRA;
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;110373;;;10.614,53;;04/03/2026;04/04/2026;21;92;FAC;26;U.V. IMP/EXP ITAJAI;6055;FRETES ME;AUTORIZADA;Solicitação autorizada por: FLAVIO EMANOEL WERNER em: 26/03/2026 10:40:24;PRISCILA APARECIDA DA SILVA CANDIDO;25/03/2026;CTE 110373 | NFS 47051 - 47052 | CONTEINER TRIU8569130 | CARGA 14552014 | BOOKING LA0478724;;26/03/2026;;;FLAVIO EMANOEL WERNER;
36652020/0001-94;ACESSO EMPRESARIAL;2980;U;99;400;;20/03/2026;;5;92;FAC;92;FAC;2101;SEGURANCA E SAUDE;LANÇADA;Solicitação autorizada por: ADRIANO TOMALOK em: 25/03/2026 15:08:06 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/03/2026;FELIPE DOMINGUES;25/03/2026;REFERENTE AVALIAÇÃO DE POSSÍVEL ENQUADRAMENTO DE PCD.;;25/03/2026;Autorizado automaticamente através do pedido de compra 4538178 em 25/03/2026.;26/03/2026 10:13;ADRIANO TOMALOK;
