Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;uso contabil;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
34028316/0028-23;AC GUARACIABA;1163539;;;67,88;294;26/02/2026;05/03/2026;0;92;FAC;92;FAC;2054;ADMINISTRACAO;PENDENTE;Solicitação está pendente, para prosseguir solicite autorização!;CELINA CASSIA CASTRO SOARES;26/02/2026;FATURA/BOLETO CORREIO REFERENTE A ENVIO DE CORRESPONDÊNCIAS FEVEREIRO;;;;;;
07657413/0001-92;RETENLINS;2211;;;50.000,00;332,00;18/12/2025;28/02/2026;70;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;BARBARA REGINA LIPPERT;26/02/2026;MATERIAL E MÃO DE OBRA PARA INSTALAÇÕA DE 02 RAMAIS DE AERAÇÃO, RAMAIS COMPOSTO POR SISTEMA DE DIFUSÃO DE AR POR MEMBRANAS, CONSIDERAR INSTALAR OS RAMAIS NA LAGOA DO ETE QUE ESTÁ SENDO REFORMADA.;;26/02/2026;;;;
11041796/0001-47;MASTER CONSTRUCOES LTDA;533;;;50.170,00;326,00;26/02/2026;26/03/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/02/2026 10:36:25 ;BARBARA REGINA LIPPERT;26/02/2026;CONTRATAÇÃO DE EMPRESA DE CONSTRUÇÃO CIVIL PARA FORNECIMENTO DE MATERIAL E MÃO DE OBRA NA EXECUÇÃO, DE ENTRADA SANITÁRIA, CÂMARA DE MATÉRIA PRIMA, LAVAGEM DE CONTENTORES E AMPLIAÇÃO DA SALA DE MÁQUINAS DO FRIGORÍFICO AURORA COOP DE CASTRO (FAC).;;26/02/2026;;;CRISTIANO RODEGHIERO MOREIRA;
44772937/0001-50;TELEMATICA SISTEMAS INTELIGENTES;41537;;;4.300,38;245,00;19/02/2026;21/03/2026;7;92;FAC;92;FAC;2054;ADMINISTRACAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ANGELA MARIA BIESCEK;26/02/2026;NOTA FISCAL REFERENTE A TROCA DE PEÇAS E TROCA DE CIRCUITO IMPRESSO DOS RELOGIOS PONTO;;26/02/2026;;;;
76803766/0001-76;VIACAO SANTANA IAPO LTDA;1428;2;67;52.800,00;211,00;26/02/2026;03/03/2026;0;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;LANÇADA;Solicitação autorizada por: PAULA FERNANDA DA SILVA GIACOMELLI em: 26/02/2026 08:58:16 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/02/2026;GUSTAVO NATHAN ALVES DA COSTA;26/02/2026;;;26/02/2026;;26/02/2026 09:39;PAULA FERNANDA DA SILVA GIACOMELLI;
76803766/0001-76;VIACAO SANTANA IAPO LTDA;1427;2;67;181.812,00;211,00;26/02/2026;03/03/2026;0;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;LANÇADA;Solicitação autorizada por: PAULA FERNANDA DA SILVA GIACOMELLI em: 26/02/2026 08:58:16 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/02/2026;GUSTAVO NATHAN ALVES DA COSTA;26/02/2026;;;26/02/2026;;26/02/2026 09:35;PAULA FERNANDA DA SILVA GIACOMELLI;
50685378/0001-44;MECANICA VALENGA LTDA;449;;;2.167,24;242,00;25/02/2026;25/03/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/02/2026 10:45:55 ;BARBARA REGINA LIPPERT;25/02/2026;SERVIÇO DE MANUTENÇÃO PREVENTIVA DE 250H MÁQUINA PÁ CARREGADEIRA BRUTO.;;26/02/2026;;;CRISTIANO RODEGHIERO MOREIRA;
04088208/0001-65;CGMP-CENTRO DE GESTAO DE MEIOS DE PAGAMENTO S.A.;680662377;S;99;767,48;102,00;21/02/2026;02/03/2026;4;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 25/02/2026 17:22:49 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/02/2026;CELINA CASSIA CASTRO SOARES;25/02/2026;BOLETO/NF REF A DESPESAS COM PEDÁGIO VEÍCULOS AURORA - TAG SEM PARAR FEVEREIRO/2026;;25/02/2026;;26/02/2026 08:11;VANESSA CORREA DE MORAES MARTINI;
55989583/0001-17;OS TAURAS DO AR;861;;;580;242,00;25/02/2026;11/04/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/02/2026 10:45:54 ;BARBARA REGINA LIPPERT;25/02/2026;SERVIÇO DE CONSERTO EM AR CONDICIONADO SPRINGER 18000BTUS/ REABASTECIMENTO DE GÁS R22/ REPARO DE VAZAMENTO EM TUBULAÇÃO/ REPARO E TROCA DE VÁLVULA SCHRADER.;;26/02/2026;;;CRISTIANO RODEGHIERO MOREIRA;
07756651/0001-55;BRASIL SERVS DE TELECOMUNICACOES LTDA;946962;1;62;1.490,00;32,00;18/02/2026;18/03/2026;7;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 25/02/2026 17:22:49 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/02/2026;NAVIER NUNES RESENDE;25/02/2026;TELEFONIA CONTRATO: PROH430LU82A;;25/02/2026;;26/02/2026 08:26;VANESSA CORREA DE MORAES MARTINI;
04647090/0001-68;CETRIC S.A.;510763;S;99;44.336,70;290,00;25/02/2026;25/06/2026;0;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/02/2026 10:45:55 ;KAREN DA ROSA OLIVEIRA;25/02/2026;NOTA FISCAL REFERENTE A COLETA/DESTINAÇÃO DE RESÍDUOS DE CINZA, NÃO RECICLAVEL E LOCAÇÃO DE CAÇAMBA. E TRANSPORTE DE RESÍDUO DE LODO PARA O BIODIGESTOR;;26/02/2026;;;CRISTIANO RODEGHIERO MOREIRA;
44002122/0001-92;SL SERVIÇOS AGRÍCOLAS;380;;;16.794,00;9,00;25/02/2026;25/03/2026;0;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/02/2026 10:45:54 ;TIAGO FARIAS DOS SANTOS;25/02/2026;NF REFERENTE A APLICAÇÃO DE DIGESTATO EM SOLOS AGRICOLAS;;26/02/2026;;;CRISTIANO RODEGHIERO MOREIRA;
81659286/0001-13;VIACAO CIDADE DE CASTRO LTDA;19397;U;99;1.100,00;40,00;25/02/2026;;0;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;LANÇADA;Solicitação autorizada por: PAULA FERNANDA DA SILVA GIACOMELLI em: 25/02/2026 15:50:27 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 25/02/2026;GUSTAVO NATHAN ALVES DA COSTA;25/02/2026;NF PAGA VIA ADTO 5472337;;25/02/2026;;25/02/2026 16:06;PAULA FERNANDA DA SILVA GIACOMELLI;
03392348/0001-60;SERVIOESTE SOLUCOES AMBIENTAIS LTDA;273654;;;816;9,00;25/02/2026;25/03/2026;0;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AUTORIZADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 26/02/2026 10:45:55 ;KAREN DA ROSA OLIVEIRA;25/02/2026;NOTA FISCAL REFERENTE A COLETA E DESTINAÇÃO FINAL DOS RESIDUOS DE LABORATOIRO E DA SAUDE.;;26/02/2026;;;CRISTIANO RODEGHIERO MOREIRA;
03538069/0001-61;OLIBONI PRESTADORA DE SERVICOS LTDA;975;1;57;5.805,00;114,00;14/01/2026;26/02/2026;42;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 25/02/2026 15:31:03 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 25/02/2026;ADRIANA APARECIDA DOS SANTOS;25/02/2026;CONHECIMENTO DE FRETE REFERENTE NF 161149 DE TRANSFERÊNCIA DE IMOBILIZADO, N BEM 245707;;25/02/2026;;25/02/2026 15:40;VANESSA CORREA DE MORAES MARTINI;
00664761/0001-48;RUFATTO EQUIPAMENTOS LTDA - ME;552;S;99;6.175,44;57,00;24/02/2026;05/03/2026;1;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 25/02/2026 17:22:48 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 26/02/2026;NAVIER NUNES RESENDE;25/02/2026;IMPRESSÃO UNIDADE FAC;;25/02/2026;;26/02/2026 08:57;VANESSA CORREA DE MORAES MARTINI;
